id,shop,company,serviceType,city,postalCode,useWeightRange,minWeightGrams,maxWeightGrams,useVolumeRange,minVolumeCm3,maxVolumeCm3,rate,mode,active,createdAt,updatedAt,zoneSurcharge,ageRestrictedSurcharge,ruralSurcharge,signatureSurcharge,minimumCharge,homeDeliveryFee,baseFee,residentialFee
cmp2ipyhi0003c6dix05pkcz8,b2b-test-store-1-qfko16ru.myshopify.com,M2H,STANDARD_DELIVERY,SURAT,394221,t,100,6000,f,,,189.0000,ROAD,f,2026-05-12 10:59:05.047,2026-05-12 10:59:05.047,1.00,0.0000,0.0000,0.0000,0.00,,0.00,0.00
cmp2ij4v60000c6diwelhkupo,b2b-test-store-1-qfko16ru.myshopify.com,NZP,STANDARD_DELIVERY,surat,394221,t,25,50,t,89,95,132.0000,,t,2026-05-12 10:53:46.722,2026-05-12 11:55:14.049,5.00,0.0000,0.0000,0.0000,0.00,,0.00,0.00
cmp2ixoux0004c6di8dlm2q5r,b2b-test-store-1-qfko16ru.myshopify.com,TGE,STANDARD_DELIVERY,SURAT,394221,t,1000,10000,t,25,266,59.0000,,t,2026-05-12 11:05:05.817,2026-05-12 11:55:17.976,1.00,0.0000,0.0000,0.0000,0.00,,0.00,0.00
cmp2iknlc0001c6divah4ylko,b2b-test-store-1-qfko16ru.myshopify.com,M2H,STANDARD_DELIVERY,SURAT,394221,t,100,200,f,,,189.0000,,t,2026-05-12 10:54:57.648,2026-05-12 11:55:22.835,1.00,0.0000,0.0000,0.0000,0.00,,0.00,0.00
cmp2ipka20002c6diax2w85o1,b2b-test-store-1-qfko16ru.myshopify.com,M2H,STANDARD_DELIVERY,SURAT,394221,t,200,300,t,1,1,189.0000,ROAD,t,2026-05-12 10:58:46.635,2026-05-12 11:55:23.788,1.00,0.0000,0.0000,0.0000,0.00,,0.00,0.00
cmpz45eui000mayklrrr40zb2,findash-shipping-2.myshopify.com,FLIWAYLINEHAUL,DEPOT_DELIVERY,Hamilton,3204,f,,,f,,,0.0000,,t,2026-06-04 06:27:35.659,2026-06-04 07:38:01.056,74.03,0.0000,0.0000,0.0000,55.07,,0.00,0.00
cmprwvqmk0000jl0a2xp5fxvf,containerdoor-nz.myshopify.com,FLIWAYLINEHAUL,STANDARD_DELIVERY,Gisborne,4010,f,,,t,0,1028000,157.0000,,t,2026-05-30 05:29:43.82,2026-05-30 06:58:52.399,0.00,0.0000,0.0000,0.0000,55.07,,0.00,0.00
cmps0s8oi0005ju0a6dkdhoc3,containerdoor-nz.myshopify.com,FLIWAYLINEHAUL,STANDARD_DELIVERY,Warkworth,0910,f,,,t,0,1028000,108.8500,,t,2026-05-30 07:18:59.058,2026-05-30 07:20:20.102,0.00,0.0000,0.0000,0.0000,55.07,,0.00,0.00
cmps0tur60006ju0akzzontgh,containerdoor-nz.myshopify.com,FLIWAYLINEHAUL,STANDARD_DELIVERY,Warkworth,0910,f,,,t,1028000,,108.8500,,t,2026-05-30 07:20:14.322,2026-05-30 08:00:43.172,0.00,0.0000,0.0000,0.0000,55.07,,0.00,0.00
cmps0xa8y0007ju0a8y6skr4s,containerdoor-nz.myshopify.com,FLIWAYMIDSIZE,STANDARD_DELIVERY,Gisborne,4010,f,,,t,0,589000,163.2900,,t,2026-05-30 07:22:54.37,2026-05-30 07:22:54.37,0.00,0.0000,0.0000,0.0000,0.00,,0.00,0.00
